iter	Logloss
0	0.5354395939
1	0.4440905604
2	0.364590193
3	0.3019693115
4	0.2496812011
5	0.1940136142
6	0.1612173785
7	0.1354200264
8	0.1148227179
9	0.09837940919
10	0.08464405256
11	0.07317421304
12	0.06382099306
13	0.05440854988
14	0.04763305873
15	0.03973315497
16	0.03362247349
17	0.02817620557
18	0.02436756548
19	0.02113817002
20	0.01856680312
21	0.01653591624
22	0.01457381022
23	0.01306194493
24	0.01167741057
25	0.01045290531
26	0.009538111775
27	0.00874473736
28	0.008184618889
29	0.007592927565
30	0.007047577262
31	0.006642967512
32	0.006272821337
33	0.005911212782
34	0.005585657377
35	0.00532179287
36	0.005065940478
37	0.004870873899
38	0.004668683948
39	0.004485541182
40	0.004325387398
41	0.004206271886
42	0.004076949358
43	0.003940046954
44	0.003824876654
45	0.003711381177
46	0.00361984681
47	0.003529607456
48	0.003468310999
49	0.003388147779
50	0.00327682566
51	0.003217496896
52	0.003146601987
53	0.003096225139
54	0.003071576856
55	0.003020449762
56	0.00298205877
57	0.002978040643
58	0.002905635981
59	0.002894069634
60	0.002877694969
61	0.002864193483
62	0.002781349471
63	0.002751089601
64	0.002713047258
65	0.002707633203
66	0.00267310464
67	0.00264643282
68	0.002593001867
69	0.002571354162
70	0.002542918597
71	0.002540101113
72	0.002487786234
73	0.002439107556
74	0.002433844893
75	0.002385273306
76	0.002344129275
77	0.002341376653
78	0.00229620571
79	0.002292774933
80	0.002291042509
81	0.002278435371
82	0.00222683322
83	0.002188603162
84	0.002184193629
85	0.002179509477
86	0.002178465986
87	0.002125866579
88	0.002086987301
89	0.002081429963
90	0.00203533175
91	0.002009823339
92	0.001996906458
93	0.001987316571
94	0.001985403573
95	0.001983301451
96	0.00198173523
97	0.001969303974
98	0.001962748957
99	0.001952073509
100	0.001947070215
101	0.001927588981
102	0.001922497977
103	0.001889004499
104	0.001887382672
105	0.001854121818
106	0.001810432886
107	0.00180800688
108	0.001803180917
109	0.001801679471
110	0.001798465212
111	0.001796478238
112	0.001760558054
113	0.001731397199
114	0.001727868112
115	0.001697870473
116	0.001673807268
117	0.001670763833
118	0.001668953953
119	0.001666363355
120	0.001644738174
121	0.001641419765
122	0.001624112794
123	0.001622755624
124	0.001621010066
125	0.001614989021
126	0.001582589468
127	0.001581901424
128	0.001575621312
129	0.001563537146
130	0.00156038842
131	0.001557558852
132	0.001531132306
133	0.001523187764
134	0.001522525658
135	0.001519189277
136	0.001516121705
137	0.001506370663
138	0.001503329617
139	0.001501986378
140	0.001495366709
141	0.001492476405
142	0.001491012358
143	0.001461667243
144	0.001460198627
145	0.001457206291
146	0.001454289215
147	0.001449638673
148	0.001444187902
149	0.0014390398
150	0.00143543792
151	0.001412745957
152	0.001402856119
153	0.001371767964
154	0.001344087883
155	0.001338645553
156	0.001335457371
157	0.001334421881
158	0.001322811608
159	0.001306948524
160	0.001302565086
161	0.001295277932
162	0.001294949277
163	0.001293942037
164	0.001293726894
165	0.001291881299
166	0.001286353541
167	0.001286118878
168	0.001281680007
169	0.001279700874
170	0.001261905943
171	0.001254037931
172	0.001227107123
173	0.001225722325
174	0.001224425569
175	0.001223031469
176	0.001221707737
177	0.001221332935
178	0.001220248426
179	0.001220004584
180	0.001204254161
181	0.001203004808
182	0.001178085516
183	0.001176316555
184	0.001175899805
185	0.001153031829
186	0.001150278921
187	0.001147422918
188	0.001146864687
189	0.001144856098
190	0.00113065078
191	0.00112833909
192	0.001126797694
193	0.001110379454
194	0.001103338442
195	0.001101689398
196	0.001100843578
197	0.001078582472
198	0.001076173608
199	0.001074224369
200	0.001072057952
201	0.001070588258
202	0.001063586866
203	0.001050871536
204	0.001048323169
205	0.001047795846
206	0.001032460123
207	0.001012582301
208	0.001011712868
209	0.00101065612
210	0.0009931998068
211	0.0009919592189
212	0.0009847579256
